row_id,order_priority,discount,unit_price,shipping_cost,customer_id,customer_name,ship_mode,customer_segment,product_category,product_sub_category,product_container,product_name,product_base_margin,country,region,state_or_province,city,postal_code,order_date,ship_date,profit,quantity,sales,order_id,year,month,day,total_amount,delivery_days,order_frequency
64,Medium,0.08,124.49,51.94,553,Kristine Connolly,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,0.63,United States,West,California,Los Angeles,90008,18-06-2015,19-06-2015,-500.38,56,6831.37,359,2015,6,18,6831.37,1,4
87,Critical,0.04,3.08,0.99,3106,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 481,0.37,United States,Central,Texas,Houston,77041,20-03-2015,21-03-2015,36.02,75,236.87,548,2015,3,20,236.87,1,3
88,Critical,0.02,6.48,5.9,3106,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,0.37,United States,Central,Texas,Houston,77041,20-03-2015,21-03-2015,-50.64,53,370.91,548,2015,3,20,370.91,1,3
89,Critical,0.04,125.99,4.2,3106,Alexander O'Brien,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,V3682,0.59,United States,Central,Texas,Houston,77041,20-03-2015,22-03-2015,510.489,47,4976.92,548,2015,3,20,4976.92,2,3
106,High,0.01,9.31,3.98,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,AcmeÂ® Forged Steel Scissors with Black Enamel Handles,0.56,United States,Central,Texas,Dallas,75220,21-05-2015,22-05-2015,-10.9,61,586.96,646,2015,5,21,586.96,1,3
151,Low,0.06,122.99,19.99,2382,Geoffrey Saunders,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,0.37,United States,East,New York,New York City,10024,05-05-2015,07-05-2015,1408.1865,48,5911.35,962,2015,5,5,5911.35,2,3
152,Low,0.08,68.81,60,2382,Geoffrey Saunders,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",0.41,United States,East,New York,New York City,10024,05-05-2015,07-05-2015,-1069.72,68,4649.85,962,2015,5,5,4649.85,2,3
349,Not Specified,0.07,2036.48,14.7,553,Kristine Connolly,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,0.55,United States,West,California,Los Angeles,90008,21-02-2015,21-02-2015,4073.25,25,43046.2,2433,2015,2,21,43046.2,0,4
448,Medium,0.1,4.26,1.2,699,Jenny Gold,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon PrangÂ® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,California,Los Angeles,90041,20-05-2015,21-05-2015,15.42,88,351.56,3042,2015,5,20,351.56,1,9
462,Not Specified,0.07,179.99,19.99,471,Ross Simpson,Express Air,Consumer,Technology,Computer Peripherals,Small Box,Motorola SB4200 Cable Modem,0.48,United States,South,Georgia,Atlanta,30318,08-02-2015,08-02-2015,-568.5351,4,718.03,3138,2015,2,8,718.03,0,1
480,Critical,0.01,3.26,1.86,342,Jacqueline Noble,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",0.41,United States,South,Florida,Miami,33181,04-05-2015,06-05-2015,-4.6683,20,73.97,3332,2015,5,4,73.97,2,1
494,Medium,0.1,19.98,4,102,Caroline Johnston,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,United States,East,Massachusetts,Boston,2129,22-06-2015,24-06-2015,-20.25,65,1233.32,3397,2015,6,22,1233.32,2,3
495,Medium,0.09,2.88,1.49,102,Caroline Johnston,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,United States,East,Massachusetts,Boston,2129,22-06-2015,23-06-2015,-3.381,17,47.31,3397,2015,6,22,47.31,1,3
522,High,0.07,1.68,1.57,181,Wesley Waller,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,San Francisco,94122,22-05-2015,23-05-2015,-35.75,116,186.59,3585,2015,5,22,186.59,1,2
566,Not Specified,0.02,60.98,49,1733,Nina Horne Kelly,Regular Air,Small Business,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,0.59,United States,East,District of Columbia,Washington,20012,04-04-2015,06-04-2015,-662.52,34,2119.54,3841,2015,4,4,2119.54,2,3
567,Not Specified,0.02,1270.99,19.99,1733,Nina Horne Kelly,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,0.35,United States,East,District of Columbia,Washington,20012,04-04-2015,06-04-2015,9228.2256,36,45737.33,3841,2015,4,4,45737.33,2,3
